,CallPrice,PutPrice,StrikePrice,A50Price,LocalTime,Type,TransactionArbitrage,Profit
127,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:40.836692,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
128,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:41.303230,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
129,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:41.303420,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
130,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:41.807680,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
131,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:42.317559,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
132,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:42.827148,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
133,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:43.369758,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
134,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:43.860860,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
135,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:43.860877,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
136,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:45.510451,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
137,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:47.922682,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
138,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:47.922704,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
139,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:48.429750,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
140,0.1547,0.0034,1.8,1.958,2016-Feb-16 09:31:48.429764,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,2.8683843985310986
141,0.0237,0.0692,2.0,1.959,2016-Feb-16 09:31:50.383507,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,19.859467819540146
142,0.0227,0.0692,2.0,1.959,2016-Feb-16 09:31:50.872060,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.859467819541248
143,0.0709,0.0188,1.9,1.959,2016-Feb-16 09:31:50.872156,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.03579594833880151
144,0.0709,0.0188,1.9,1.959,2016-Feb-16 09:31:51.386266,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.03579594833880151
145,0.0059,0.156,2.1,1.956,2016-Feb-16 09:31:54.839522,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,2.8519206549176532
146,0.0059,0.156,2.1,1.956,2016-Feb-16 09:31:54.839612,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,2.8519206549176532
147,0.0108,0.1111,2.05,1.956,2016-Feb-16 09:31:54.839669,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.2900847193136586
148,0.0108,0.1111,2.05,1.956,2016-Feb-16 09:31:54.839691,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.2900847193136586
149,0.0227,0.072,2.0,1.956,2016-Feb-16 09:31:54.839755,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,11.728248783715003
150,0.0227,0.072,2.0,1.956,2016-Feb-16 09:31:54.839790,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,11.728248783715003
151,0.0412,0.0419,1.95,1.956,2016-Feb-16 09:31:54.839835,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.466412848114551
152,0.0412,0.0419,1.95,1.956,2016-Feb-16 09:31:54.839871,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.466412848114551
153,0.1072,0.0078,1.85,1.956,2016-Feb-16 09:31:54.840051,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.04274097691267276
